class,order,family,genus,specificEpithet,12S,16S,COI,cytB,ITS,matK,psbA-trnH,rbcL,cpGenome_total,mtGenome_total,nucGenome_total,otherLoci_total,total_sequences,cpGenome_GB,mtGenome_GB,nucGenome_GB,otherLoci_GB,cpGenome_RS,mtGenome_RS,nucGenome_RS,otherLoci_RS
Arachnida,Amblypygi,Phrynidae,Heterophrynus,alces,0,0,1,0,0,0,0,0,0,0,0,7,8,0,0,0,7,0,0,0,0
Arachnida,Amblypygi,Phrynidae,Heterophrynus,longicornis,0,0,1,0,0,0,0,0,0,1,0,63,65,0,0,0,63,0,1,0,0
Arachnida,Amblypygi,Phrynidae,Heterophrynus,batesii,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0
Arachnida,Amblypygi,Phrynidae,Paraphrynus,sp.,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0
Arachnida,Amblypygi,Phrynidae,Paraphrynus,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Amblypygi,Phrynidae,Paraphrynus,aztecus,0,0,1,0,0,0,0,0,0,0,0,4,5,0,0,0,4,0,0,0,0
Arachnida,Amblypygi,Phrynidae,Paraphrynus,baeops,0,0,1,0,0,0,0,0,0,0,0,3,4,0,0,0,3,0,0,0,0
Arachnida,Amblypygi,Phrynidae,Paraphrynus,carolynae,0,0,1,0,0,0,0,0,0,0,0,4,5,0,0,0,4,0,0,0,0
Arachnida,Amblypygi,Phrynidae,Paraphrynus,cubensis,0,0,1,0,0,0,0,0,0,0,0,4,5,0,0,0,4,0,0,0,0
Arachnida,Amblypygi,Phrynidae,Paraphrynus,mexicanus,0,0,1,0,0,0,0,0,0,0,0,4,5,0,0,0,4,0,0,0,0
Arachnida,Amblypygi,Phrynidae,Paraphrynus,pococki,0,0,1,0,0,0,0,0,0,0,0,4,5,0,0,0,4,0,0,0,0
Arachnida,Amblypygi,Phrynidae,Paraphrynus,sp.,0,0,2,0,0,0,0,0,0,0,0,8,10,0,0,0,8,0,0,0,0
Arachnida,Amblypygi,Phrynidae,Paraphrynus,robustus,0,0,1,0,0,0,0,0,0,0,0,4,5,0,0,0,4,0,0,0,0
Arachnida,Amblypygi,Phrynidae,Paraphrynus,viridiceps,0,0,1,0,0,0,0,0,0,0,0,4,5,0,0,0,4,0,0,0,0
Arachnida,Amblypygi,Phrynidae,Paraphrynus,laevifrons,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0
Arachnida,Amblypygi,Phrynidae,Phrynus,marginemaculatus,0,0,102,0,0,0,0,0,0,0,0,72,174,0,0,0,72,0,0,0,0
Arachnida,Amblypygi,Phrynidae,Phrynus,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Amblypygi,Phrynidae,Phrynus,sp.,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Arachnida,Amblypygi,Phrynidae,Phrynus,mexicanus,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Amblypygi,Phrynidae,Phrynus,goesii,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,2,0,0,0,0
Arachnida,Amblypygi,Phrynidae,Phrynus,longipes,1,1,1,0,0,0,0,0,0,0,0,8,11,0,0,0,8,0,0,0,0
Arachnida,Araneae,Actinopodidae,Actinopus,sp.,1,1,1,0,0,0,0,0,0,0,0,4,7,0,0,0,4,0,0,0,0
Arachnida,Araneae,Actinopodidae,Actinopus,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,pruinosa,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,granulosa,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,faulderi,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,langlandsi,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,65,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,occatoria,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,1,1,1,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,harewoodi,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
